Row,median_r,mean_r,T,expcoeff,alpha,paretocoeff,rstar,r0,alphai,fp,fr,fr_expected,ft,gini,taxgini,fL,bot50inc,bot50tax,top1inc,top1tax
1983,15045.5008749415,20660.7062930495,20593.0594521311,1.03956170196647,1.81162710074831,8259861.30008638,103672.700515504,53474.728547196,1.98819190272238,0.00676798174701926,0.076949940304482,0.0758037507697672,0.179746020792124,0.476341446567688,0.666471210259386,0,0.174812821904187,0.0711345749771293,0.0931258473713658,0.207555986183065
1984,15998.278894617,22077.7935490425,21846.7208849389,1.04094261597254,1.74596724677695,4312380.85438482,109854.288318861,56532.2074701688,1.95152924355927,0.00681735177647771,0.0810397583245769,0.0793950422738782,0.19125830940744,0.479384400766373,0.670799255636745,0,0.174360513925244,0.0727360217545278,0.0965477352885862,0.217890811792238
1985,16681.5353037656,23294.18681852,22950.0146027208,1.03940235182735,1.7654171883229,6713796.74385252,110700.7953714,59031.7321057838,1.91915375257042,0.00835483293414625,0.0925992151572134,0.0915777770150381,0.210298450030903,0.483753426296544,0.675890906358694,0,0.172629165925513,0.0710383000285082,0.100295900429429,0.223225133198244
1986,17308.6086103681,24725.0698745332,24016.8038514118,1.0330572672488,1.53653831117099,498123.70919122,116072.946777716,58671.8504591645,1.81071324662261,0.00822591050973239,0.104312332535854,0.110591084834451,0.243029969649307,0.496565358603001,0.696485840592648,0,0.166613146894897,0.0645516945515327,0.113158779070213,0.258320036754253
1987,17772.7652076187,26505.9039697711,24895.8556151544,1.02375119686363,1.70275975323547,5359599.3298419,104930.188505996,68502.6065485202,1.71011891760598,0.0151267318285376,0.147228070705912,0.145093993909974,0.2879288153224,0.516207504493379,0.704373531776055,0,0.156327536114845,0.0606660579697971,0.123419625065876,0.249224051623615
1988,18376.5594137144,28695.4535840746,25985.0588178379,1.02065734580524,1.52818960882313,837861.941057317,105398.560623085,66431.3702493817,1.60143109658338,0.0176737496449563,0.1869302873211,0.187818200006101,0.330952361032921,0.536501202113344,0.716449618717276,0.0933854705111328,0.149253716391825,0.0572147980615604,0.151700539402764,0.276368537722406
1989,18992.7338360717,29635.9478176802,26905.5761629639,1.02103667952224,1.62522790973308,2892484.81205113,106426.072256856,74346.1353466045,1.59854255487252,0.0195511504662828,0.185252829563215,0.182506125972976,0.31885979221567,0.533647651577171,0.707843761708289,0.0851250377952939,0.14963454512071,0.0583102450636445,0.141936834983575,0.252861430649906
1990,19771.8984785378,30592.7736827048,28035.9952444387,1.01958394447963,1.62804475356348,3175056.25012936,111134.383309825,74675.3247315658,1.62370468510153,0.0193590631879423,0.182760231300383,0.182301261713058,0.315566983223011,0.531853450302129,0.706436618946338,0.0826636398084089,0.150249125356813,0.0580874899468931,0.140075365114624,0.25180197706611
1991,20114.9577929395,30896.4386732486,28429.6232275777,1.0207335802856,1.73400039723879,11522718.0115128,111035.280210756,82597.7428348177,1.62798302490898,0.0205458242042768,0.177623318486291,0.174433154895528,0.318430861859706,0.527703835927982,0.709017222344547,0.072837794616965,0.151375575230474,0.05477765003466,0.129836908647422,0.247153434993063
1992,20825.7821058915,32671.6544776325,29456.7501939539,1.02273767867756,1.64913970392124,4665121.28974938,113963.261836001,83610.0399980263,1.57806036889221,0.0213575394551712,0.193601293375556,0.18926235313985,0.350483513973489,0.534905841117004,0.723573674996061,0.0874236211820634,0.14939749581261,0.0510111217427545,0.142219500242967,0.274800168545673
1993,21175.5310028853,33211.9241824521,29797.2132677727,1.02431162826242,1.66240021482,5430674.29944916,116482.305552544,91092.0092524084,1.54109896004057,0.0205448092982194,0.186946920859191,0.180835277270733,0.361749186769488,0.534136021343396,0.732606393904212,0.084339436620275,0.149423456961414,0.0483495520765495,0.137827288379345,0.289489497470212
1994,21840.5477324015,34447.7712568197,30600.6654709625,1.02666822056682,1.64827970350622,4717512.16147119,120794.246004695,98994.5350867086,1.48983625364092,0.0198188908897493,0.184521617912493,0.17669853606426,0.357284103857757,0.535242730869707,0.734404704201812,0.0857985861042813,0.149136296505218,0.0481049158476905,0.137971667885224,0.288394311082597
1995,22419.5051881657,36193.8752915326,31658.3262108316,1.02437110980944,1.60896201643146,3342557.9095709,121564.018231024,105396.102383782,1.41238123272075,0.0220201746159385,0.202005383029674,0.195409784957833,0.383567300912234,0.543617168789625,0.742757493174124,0.0996640631451026,0.145611975338296,0.0464793393003365,0.146117587721437,0.302993091974557
1996,23200.8721731741,38433.1827120978,32927.470307584,1.02097974620086,1.54985186490377,1848985.48923024,124082.919833039,104574.007409697,1.39610572578302,0.0235740637415251,0.223365334146952,0.214528301947334,0.412649592652223,0.555313029757416,0.754316869968464,0.121268475628323,0.14091259768383,0.0434570997476777,0.160780944696062,0.323631951703389
1997,24387.8658023088,41344.2076236869,34665.3431134275,1.02303313504501,1.49141294057572,1055927.80944282,127947.023592262,107648.57625737,1.35733801436808,0.025523681605178,0.244528097201274,0.239723246812754,0.432785819171344,0.563559840377177,0.759083795484957,0.138662762970505,0.138497789029984,0.0427756773830311,0.17410004721059,0.333084051488213
1998,25487.3142239186,44186.4225496495,36305.2892037271,1.02590097961761,1.47764743636999,1020445.55680017,130543.320181065,115193.674340676,1.30603483251296,0.0281519245072972,0.264867955899061,0.257298512539799,0.461160621851279,0.570037584700595,0.76864253942507,0.151827080090004,0.136689728543628,0.0420371968095604,0.184819500452632,0.34649887005962
1999,26488.4394409374,46896.0929401742,37821.9834908676,1.0220895733359,1.43177681026798,634272.471968661,135371.329028519,119048.121379323,1.27744515945573,0.0285151029017831,0.27758151151604,0.272948671266424,0.478359567448294,0.579937328757816,0.778108838632588,0.170023619221666,0.132445982152777,0.0399703163293297,0.194930776441676,0.360018410378503
2000,27734.9644495482,50098.414912044,39680.1503741252,1.02192797016195,1.33951478105515,207806.588943762,147652.00769586,127601.185058055,1.2092814217845,0.0247392647692412,0.276517654138904,0.287667622405084,0.472730696343519,0.588160345214734,0.783716272482789,0.186331069796591,0.129767344076463,0.0390686346605965,0.207727844083711,0.372179700263876
2001,28489.7032963566,48448.8311100989,40330.0181831162,1.02469975861292,1.45735766317076,846047.362754358,151725.313518578,126310.126186696,1.32493995399707,0.0238089384841014,0.239293467129487,0.237588251604355,0.4327231099745,0.565472338362151,0.770714662091795,0.141175261010036,0.137975879447094,0.0397844673959071,0.17541759360516,0.337419407738365
2002,28676.5817778708,47643.3009336228,40346.3080826785,1.02889245568517,1.51235601664125,1588714.85520634,153849.188227707,127288.54479874,1.37035351607129,0.022714925046054,0.220305820696566,0.216514442662245,0.428006843266542,0.554503398660798,0.779329208326107,0.121095868515115,0.142172827441785,0.0350161356615506,0.16137989719594,0.335942328305861
2003,29029.8844621157,48888.8643357201,40650.5494776536,1.02458719798807,1.48434810924378,1162698.51055709,153983.524763275,126922.664173557,1.35209322921298,0.0231979448455883,0.22871531608549,0.223919530125815,0.437400609053155,0.560109156066579,0.780133973804788,0.13201489080976,0.139840203125252,0.0346767230310048,0.167707571244308,0.340280338968814
2004,30142.2285907486,52735.0033238947,42436.2038335006,1.02199665770637,1.40954596165015,539107.885503717,156191.509279179,131650.477178381,1.28085801115649,0.0257618376848346,0.26153256668055,0.26261037335803,0.479892131498597,0.575768554758384,0.793171732549298,0.16227204240634,0.134168234696547,0.0329276344463951,0.189445206435732,0.364985568852151
2005,30903.109000988,56616.1375867791,43657.0898721237,1.0216872981591,1.35945669201604,336560.958952978,154407.583875976,132387.769534525,1.23213229812227,0.0297367463487885,0.298714204399712,0.306718972940392,0.525186163789505,0.592163516945382,0.806200827318422,0.194839405906024,0.128352781949143,0.0306972256287422,0.210943341157411,0.389357924866888
2006,31984.9515697954,59844.457893786,45308.8531208784,1.01977442239432,1.35566309519771,360679.512135878,155348.394060604,132832.758275079,1.23223239911123,0.0330718486898188,0.318578666188694,0.327230874501458,0.543697685042942,0.599631420899949,0.80925454460668,0.209234668426657,0.12527796487955,0.0299292505620562,0.219506592418798,0.39425413908225
2007,32808.5134517478,62369.318582205,46545.9743091359,1.01801909698219,1.3408981033993,313617.558742245,159415.839705089,138250.182356692,1.21234867414667,0.0331387244122705,0.326689604141736,0.333171198262878,0.550079778281294,0.606089337510564,0.812491073942231,0.22196189316159,0.122698364945066,0.0288809479198938,0.227050189753628,0.399461869488451
2008,33036.74175126,60207.1333856495,46834.8205874891,1.01771746886282,1.39456693979628,544589.153899864,168133.186528847,146111.423147392,1.24926747211632,0.0280895935965174,0.281647836756135,0.277248766018548,0.50686023941374,0.589610655867722,0.807759687361192,0.188433382567544,0.127670621483663,0.0272211336073967,0.198876409561935,0.374690286900178
2009,32392.8088829909,56713.0325858038,45519.0791710142,1.02475735362455,1.48397450971207,1419474.0837429,169719.466516307,146351.244783022,1.31885133888017,0.0246228882849154,0.237529683088744,0.22593927691057,0.482914096567573,0.569066675294563,0.81451757128099,0.148588064390552,0.135004880789483,0.0224685183894903,0.168478074230771,0.361149488298618
2010,32648.8839326424,58985.8309175981,45744.0022118576,1.0283189377254,1.42482221569563,721942.551923071,168647.416256734,148066.314560486,1.25955106695546,0.0257623724199763,0.258749759475172,0.247042289066378,0.499264985499851,0.579252902804701,0.818871813293957,0.170235860650873,0.131961513000165,0.0215504059631828,0.184778312586271,0.371636985228113
2011,32734.1331189876,59962.7884309214,46128.3251167128,1.02397823034485,1.44484348650913,1012024.71242607,163226.830580133,142196.900232753,1.28427378663257,0.0297524821341008,0.273429951959204,0.263054962418254,0.49421695299332,0.583861590199445,0.803592389526906,0.17947420314991,0.128875585328116,0.0261471811202428,0.183291248435867,0.348815721532396
2012,33779.2439523338,65081.7099384451,47575.8359818317,1.02350541195455,1.36851893239662,458544.414411423,161856.523587137,143262.521206462,1.21761397847151,0.0340869462929985,0.319217128867501,0.314811330765622,0.541306847989106,0.603426731693802,0.815103438224971,0.219143058006911,0.122249312260088,0.0246446743620399,0.214907136279002,0.381207079123807
2013,34468.5635776513,63979.4076199756,49080.8026999844,1.01869220026057,1.4636884548498,1497656.05276133,166871.245754825,145962.196108426,1.30012842494342,0.0339995027760772,0.293797298481067,0.279921478746265,0.536873319845591,0.589626816927498,0.813566890195317,0.19143100293059,0.126111032998445,0.0246821728216343,0.187113391713682,0.377939250535699
2014,35683.6172750261,68012.2825682645,50652.5861787177,1.01963126872846,1.42553910938163,1043177.79298647,167700.787179624,148445.743329876,1.26429330730648,0.0372031075945601,0.320154547457443,0.307302876300257,0.564875291468639,0.600013627906861,0.819572496098425,0.213269699878863,0.122703516097835,0.0243846451944998,0.202855689979194,0.396599230601438
2015,36719.598419472,70165.7542296048,52021.506436507,1.02062743634369,1.41988239565278,1015451.6193625,172026.038491733,153236.440785095,1.25548190488633,0.0373879125130514,0.322135135894539,0.309973749310143,0.561775192442392,0.600909807596089,0.817509986376107,0.215717138999071,0.122590185230409,0.0249905399875271,0.203896149420494,0.393064510368362
2016,37470.3050491707,70370.3495292831,53008.4289376739,1.02214305811292,1.45626615754716,1626716.13987591,174933.509120553,155390.476885942,1.28522244772449,0.0376958244009295,0.314481327713964,0.299088039061216,0.548605808401945,0.594665314836629,0.809947221258364,0.202803525911369,0.125114158469479,0.0269498819178198,0.194774177478771,0.375639886849749
2017,38983.5575820467,74513.9612732082,55105.7934847725,1.02226218687423,1.42558347671189,1215902.21928638,179525.48890391,160875.76149612,1.25670516521174,0.0393281278097039,0.332616117418056,0.317394673263446,0.564141447761555,0.602294991092973,0.812538787886482,0.218132313963724,0.122773038083328,0.0273833590636047,0.208189296712789,0.389625646085163
2018,40712.0081348485,78026.8520989471,57453.013107537,1.0253668531908,1.42487742436085,1308165.80375419,185202.21212898,167093.720143375,1.25160463388368,0.0408237302266018,0.337786859767117,0.324959036888904,0.582674143216839,0.601804184975339,0.821666994803491,0.217219574662978,0.123376810624571,0.0252467578265772,0.208186364013253,0.407267144460875
